DBN,School Name,Testers,Offers,,Source: New York City Department of Education. ^Data suppressed for values of 5 students or fewer.
84K593,EXCELLENCE BOYS CHARTER SCHOOL,39,s,,
31R061,I.S. 061 WILLIAM A MORRIS,40,s,,
84K803,BROOKLYN LAB?CHARTER SCHOOL,40,s,,
84M482,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 5,40,s,,
84X487,GIRLS PREPARATORY CHARTER SCHOOL OF THE BRONX,40,s,,
09X232,I.S. 232,41,s,,
10X280,P.S./M.S. 280 MOSHOLU PARKWAY,41,s,,
22K014,J.H.S. 014 SHELL BANK,41,s,,
25Q250,I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SCHOOL,41,s,,
84K651,PAVE ACADEMY CHARTER SCHOOL,41,s,,
84Q083,CENTRAL QUEENS ACADEMY CHARTER SCHOOL,41,s,,
02M177,YORKVILLE EAST MIDDLE SCHOOL,42,s,,
10X020,"P.S./M.S. 20 P.O.GEORGE J. WERDANN, III",42,s,,
10X095,P.S. 095 SHEILA MENCHER,42,s,,
11X144,J.H.S. 144 MICHELANGELO,42,s,,
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,42,s,,
21K225,P.S. K225 - THE EILEEN E. ZAGLIN,42,s,,
27Q282,KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,42,s,,
31R049,I.S. 49 BERTA A. DREYFUS,42,s,,
04M171,P.S. 171 PATRICK HENRY,43,s,,
22K207,P.S. 207 ELIZABETH G. LEARY,43,s,,
84K775,LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL,43,s,,
84X460,ATMOSPHERE CHARTER SCHOOL,43,s,,
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,45,s,,
18K285,I.S. 285 MEYER LEVIN,45,s,,
10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,46,s,,
23K392,I.S. 392,46,s,,
84K777,OCEAN HILL COLLEGIATE CHARTER SCHOOL,46,s,,
02M289,I.S. 289,47,s,,
28Q358,M.S. 358,47,s,,
84K652,BROOKLYN ASCEND CHARTER SCHOOL,48,s,,
17K189,P.S. 189 THE BILINGUAL CENTER,49,s,,
84K356,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,49,s,,
10X080,J.H.S. 080 THE MOSHOLU PARKWAY,51,s,,
11X556,BRONX PARK MIDDLE SCHOOL,52,s,,
19K452,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,52,s,,
27Q124,P.S. 124 OSMOND A CHURCH,52,s,,
15K821,SUNSET PARK PREP,53,s,,
84K538,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,53,s,,
84K780,BROOKLYN EAST COLLEGIATE CHARTER SCHOOL,54,s,,
84K626,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,55,s,,
29Q059,I.S. 059 SPRINGFIELD GARDENS,56,s,,
30Q010,I.S. 010 HORACE GREELEY,56,s,,
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP CHARTER SCHOOL,56,s,,
