DBN,Category,Tested,Passed,,Category,Tested,Passed,,%Disadvantaged,%NotDisadvantaged,%PASSED,DisadvantagedDecile,PassedDecile,Passed
08X562,Econ Disadv,198,24,,Not Econ Disadv,28,46,,0.88,0.12,0.27,9,3,27
09X004,Econ Disadv,41,17,,Not Econ Disadv,6,50,,0.87,0.13,0.21,9,2,21
09X022,Econ Disadv,125,0,,Not Econ Disadv,2,0,,0.98,0.02,0,10,0,0
09X117,Econ Disadv,130,8,,Not Econ Disadv,8,38,,0.94,0.06,0.1,9,1,10
09X128,Econ Disadv,106,60,,Not Econ Disadv,6,83,,0.95,0.05,0.61,9,6,61
09X215,Econ Disadv,110,35,,Not Econ Disadv,13,38,,0.89,0.11,0.35,9,4,35
09X218,Econ Disadv,96,35,,Not Econ Disadv,16,31,,0.86,0.14,0.34,9,3,34
09X219,Econ Disadv,94,6,,Not Econ Disadv,7,0,,0.93,0.07,0.06,9,1,6
09X229,Econ Disadv,71,0,,Not Econ Disadv,5,0,,0.93,0.07,0,9,0,0
09X231,Econ Disadv,48,19,,Not Econ Disadv,15,7,,0.76,0.24,0.16,8,2,16
09X232,Econ Disadv,153,0,,Not Econ Disadv,4,0,,0.97,0.03,0,10,0,0
09X241,Econ Disadv,74,0,,Not Econ Disadv,4,0,,0.95,0.05,0,9,0,0
09X303,Econ Disadv,93,0,,Not Econ Disadv,1,0,,0.99,0.01,0,10,0,0
09X313,Econ Disadv,76,0,,Not Econ Disadv,5,0,,0.94,0.06,0,9,0,0
09X323,Econ Disadv,103,18,,Not Econ Disadv,9,33,,0.92,0.08,0.19,9,2,19
09X324,Econ Disadv,54,0,,Not Econ Disadv,4,0,,0.93,0.07,0,9,0,0
09X327,Econ Disadv,94,39,,Not Econ Disadv,7,29,,0.93,0.07,0.38,9,4,38
09X328,Econ Disadv,73,12,,Not Econ Disadv,12,17,,0.86,0.14,0.13,9,1,13
09X339,Econ Disadv,139,14,,Not Econ Disadv,13,15,,0.91,0.09,0.14,9,1,14
09X350,Econ Disadv,16,0,,Not Econ Disadv,1,0,,0.94,0.06,0,9,0,0
09X361,Econ Disadv,119,0,,Not Econ Disadv,5,0,,0.96,0.04,0,10,0,0
09X413,Econ Disadv,43,30,,Not Econ Disadv,10,40,,0.81,0.19,0.32,8,3,32
09X454,Econ Disadv,126,52,,Not Econ Disadv,10,60,,0.93,0.07,0.53,9,5,53
09X505,Econ Disadv,72,51,,Not Econ Disadv,12,58,,0.86,0.14,0.52,9,5,52
09X568,Econ Disadv,65,46,,Not Econ Disadv,17,65,,0.79,0.21,0.5,8,5,50
09X594,Econ Disadv,61,0,,Not Econ Disadv,4,0,,0.94,0.06,0,9,0,0
10X003,Econ Disadv,22,0,,Not Econ Disadv,1,0,,0.96,0.04,0,10,0,0
10X015,Econ Disadv,44,48,,Not Econ Disadv,12,67,,0.79,0.21,0.52,8,5,52
10X020,Econ Disadv,107,0,,Not Econ Disadv,4,0,,0.96,0.04,0,10,0,0
10X037,Econ Disadv,43,23,,Not Econ Disadv,13,54,,0.77,0.23,0.3,8,3,30
10X045,Econ Disadv,201,24,,Not Econ Disadv,10,40,,0.95,0.05,0.25,10,2,25
10X080,Econ Disadv,186,27,,Not Econ Disadv,19,21,,0.91,0.09,0.26,9,3,26
10X095,Econ Disadv,125,26,,Not Econ Disadv,29,59,,0.81,0.19,0.32,8,3,32
10X118,Econ Disadv,319,40,,Not Econ Disadv,33,70,,0.91,0.09,0.43,9,4,43
10X141,Econ Disadv,110,27,,Not Econ Disadv,127,61,,0.46,0.54,0.45,5,5,45
10X206,Econ Disadv,56,0,,Not Econ Disadv,3,0,,0.95,0.05,0,9,0,0
10X225,Econ Disadv,47,26,,Not Econ Disadv,11,9,,0.81,0.19,0.23,8,2,23
10X228,Econ Disadv,80,65,,Not Econ Disadv,9,67,,0.9,0.1,0.65,9,7,65
10X243,Econ Disadv,90,36,,Not Econ Disadv,6,17,,0.94,0.06,0.35,9,3,35
10X244,Econ Disadv,247,0,,Not Econ Disadv,2,0,,0.99,0.01,0,10,0,0
10X254,Econ Disadv,144,19,,Not Econ Disadv,15,13,,0.91,0.09,0.18,9,2,18
10X279,Econ Disadv,114,0,,Not Econ Disadv,3,0,,0.97,0.03,0,10,0,0
10X280,Econ Disadv,94,0,,Not Econ Disadv,3,0,,0.97,0.03,0,10,0,0
10X308,Econ Disadv,84,0,,Not Econ Disadv,4,0,,0.95,0.05,0,10,0,0
10X315,Econ Disadv,27,59,,Not Econ Disadv,0,0,,1,0,0.59,10,6,59
10X331,Econ Disadv,108,28,,Not Econ Disadv,15,20,,0.88,0.12,0.27,9,3,27
10X342,Econ Disadv,49,12,,Not Econ Disadv,0,0,,1,0,0.12,10,1,12
10X363,Econ Disadv,177,15,,Not Econ Disadv,14,7,,0.93,0.07,0.14,9,1,14
10X368,Econ Disadv,134,29,,Not Econ Disadv,16,38,,0.89,0.11,0.3,9,3,30
10X390,Econ Disadv,173,0,,Not Econ Disadv,1,0,,0.99,0.01,0,10,0,0
10X391,Econ Disadv,141,10,,Not Econ Disadv,9,11,,0.94,0.06,0.1,9,1,10
10X447,Econ Disadv,145,0,,Not Econ Disadv,4,0,,0.97,0.03,0,10,0,0
10X459,Econ Disadv,88,13,,Not Econ Disadv,14,14,,0.86,0.14,0.13,9,1,13
11X019,Econ Disadv,35,37,,Not Econ Disadv,26,62,,0.57,0.43,0.48,6,5,48
11X083,Econ Disadv,134,36,,Not Econ Disadv,71,49,,0.65,0.35,0.41,7,4,41
11X089,Econ Disadv,133,20,,Not Econ Disadv,41,20,,0.76,0.24,0.2,8,2,20
11X127,Econ Disadv,174,37,,Not Econ Disadv,51,43,,0.77,0.23,0.38,8,4,38
11X144,Econ Disadv,105,26,,Not Econ Disadv,35,29,,0.75,0.25,0.27,8,3,27
11X175,Econ Disadv,16,31,,Not Econ Disadv,10,40,,0.62,0.38,0.34,6,3,34
11X180,Econ Disadv,217,37,,Not Econ Disadv,116,53,,0.65,0.35,0.43,7,4,43
11X181,Econ Disadv,211,45,,Not Econ Disadv,58,55,,0.78,0.22,0.47,8,5,47
11X194,Econ Disadv,145,34,,Not Econ Disadv,39,62,,0.79,0.21,0.4,8,4,40
11X287,Econ Disadv,155,15,,Not Econ Disadv,24,13,,0.87,0.13,0.15,9,1,15
11X326,Econ Disadv,104,30,,Not Econ Disadv,13,46,,0.89,0.11,0.32,9,3,32
11X355,Econ Disadv,79,10,,Not Econ Disadv,15,13,,0.84,0.16,0.1,8,1,10
11X370,Econ Disadv,108,18,,Not Econ Disadv,16,13,,0.87,0.13,0.17,9,2,17
11X462,Econ Disadv,62,34,,Not Econ Disadv,19,37,,0.77,0.23,0.35,8,3,35
11X468,Econ Disadv,100,35,,Not Econ Disadv,10,50,,0.91,0.09,0.36,9,4,36
11X498,Econ Disadv,72,53,,Not Econ Disadv,13,38,,0.85,0.15,0.51,8,5,51
11X529,Econ Disadv,90,32,,Not Econ Disadv,14,57,,0.87,0.13,0.35,9,4,35
11X532,Econ Disadv,78,22,,Not Econ Disadv,14,14,,0.85,0.15,0.21,8,2,21
11X556,Econ Disadv,94,32,,Not Econ Disadv,10,60,,0.9,0.1,0.35,9,3,35
11X566,Econ Disadv,108,25,,Not Econ Disadv,41,29,,0.72,0.28,0.26,7,3,26
12X098,Econ Disadv,77,0,,Not Econ Disadv,3,0,,0.96,0.04,0,10,0,0
12X129,Econ Disadv,140,21,,Not Econ Disadv,13,31,,0.92,0.08,0.22,9,2,22
12X190,Econ Disadv,79,0,,Not Econ Disadv,5,0,,0.94,0.06,0,9,0,0
12X211,Econ Disadv,45,11,,Not Econ Disadv,6,50,,0.88,0.12,0.16,9,2,16
12X214,Econ Disadv,125,18,,Not Econ Disadv,16,25,,0.89,0.11,0.19,9,2,19
12X217,Econ Disadv,78,12,,Not Econ Disadv,7,0,,0.92,0.08,0.11,9,1,11
12X242,Econ Disadv,84,26,,Not Econ Disadv,10,50,,0.89,0.11,0.29,9,3,29
12X267,Econ Disadv,74,0,,Not Econ Disadv,1,0,,0.99,0.01,0,10,0,0
12X271,Econ Disadv,80,0,,Not Econ Disadv,2,0,,0.98,0.02,0,10,0,0
12X273,Econ Disadv,49,20,,Not Econ Disadv,11,27,,0.82,0.18,0.21,8,2,21
12X286,Econ Disadv,70,16,,Not Econ Disadv,12,33,,0.85,0.15,0.18,9,2,18
12X316,Econ Disadv,115,27,,Not Econ Disadv,8,25,,0.93,0.07,0.27,9,3,27
12X318,Econ Disadv,66,0,,Not Econ Disadv,4,0,,0.94,0.06,0,9,0,0
12X341,Econ Disadv,126,0,,Not Econ Disadv,5,0,,0.96,0.04,0,10,0,0
12X383,Econ Disadv,76,25,,Not Econ Disadv,10,50,,0.88,0.12,0.28,9,3,28
13K008,Econ Disadv,33,33,,Not Econ Disadv,28,79,,0.54,0.46,0.54,5,5,54
13K113,Econ Disadv,90,18,,Not Econ Disadv,8,38,,0.92,0.08,0.2,9,2,20
13K265,Econ Disadv,27,0,,Not Econ Disadv,2,0,,0.93,0.07,0,9,0,0
13K266,Econ Disadv,22,36,,Not Econ Disadv,6,33,,0.79,0.21,0.35,8,4,35
13K282,Econ Disadv,31,32,,Not Econ Disadv,15,67,,0.67,0.33,0.43,7,4,43
13K301,Econ Disadv,23,0,,Not Econ Disadv,4,0,,0.85,0.15,0,9,0,0
13K313,Econ Disadv,53,70,,Not Econ Disadv,28,82,,0.65,0.35,0.74,7,7,74
13K351,Econ Disadv,36,25,,Not Econ Disadv,7,29,,0.84,0.16,0.26,8,3,26
13K492,Econ Disadv,10,70,,Not Econ Disadv,41,88,,0.2,0.8,0.84,2,8,84
13K527,Econ Disadv,50,38,,Not Econ Disadv,10,70,,0.83,0.17,0.43,8,4,43
13K691,Econ Disadv,64,0,,Not Econ Disadv,5,0,,0.93,0.07,0,9,0,0
14K050,Econ Disadv,69,0,,Not Econ Disadv,5,0,,0.93,0.07,0,9,0,0
14K071,Econ Disadv,37,22,,Not Econ Disadv,7,57,,0.84,0.16,0.28,8,3,28
14K084,Econ Disadv,40,13,,Not Econ Disadv,14,36,,0.74,0.26,0.19,7,2,19
14K126,Econ Disadv,99,22,,Not Econ Disadv,16,31,,0.86,0.14,0.23,9,2,23
14K157,Econ Disadv,54,35,,Not Econ Disadv,6,0,,0.9,0.1,0.32,9,3,32
14K318,Econ Disadv,249,34,,Not Econ Disadv,122,65,,0.67,0.33,0.44,7,4,44
14K577,Econ Disadv,81,58,,Not Econ Disadv,63,70,,0.56,0.44,0.63,6,6,63
14K582,Econ Disadv,63,29,,Not Econ Disadv,11,45,,0.85,0.15,0.31,9,3,31
14K586,Econ Disadv,35,0,,Not Econ Disadv,2,0,,0.95,0.05,0,9,0,0
14K614,Econ Disadv,32,38,,Not Econ Disadv,6,33,,0.84,0.16,0.37,8,4,37
15K051,Econ Disadv,112,68,,Not Econ Disadv,238,94,,0.32,0.68,0.86,3,9,86
15K088,Econ Disadv,306,44,,Not Econ Disadv,77,64,,0.8,0.2,0.48,8,5,48
15K136,Econ Disadv,134,25,,Not Econ Disadv,10,40,,0.93,0.07,0.26,9,3,26
15K442,Econ Disadv,21,57,,Not Econ Disadv,43,72,,0.33,0.67,0.67,3,7,67
15K443,Econ Disadv,55,80,,Not Econ Disadv,116,91,,0.32,0.68,0.87,3,9,87
15K447,Econ Disadv,42,62,,Not Econ Disadv,110,87,,0.28,0.72,0.8,3,8,80
15K448,Econ Disadv,13,15,,Not Econ Disadv,10,40,,0.57,0.43,0.26,6,3,26
15K464,Econ Disadv,31,26,,Not Econ Disadv,31,58,,0.5,0.5,0.42,5,4,42
15K497,Econ Disadv,42,62,,Not Econ Disadv,100,78,,0.3,0.7,0.73,3,7,73
15K821,Econ Disadv,160,41,,Not Econ Disadv,10,50,,0.94,0.06,0.42,9,4,42
15K839,Econ Disadv,29,48,,Not Econ Disadv,27,63,,0.52,0.48,0.55,5,6,55
16K035,Econ Disadv,59,32,,Not Econ Disadv,9,44,,0.87,0.13,0.34,9,3,34
16K057,Econ Disadv,44,0,,Not Econ Disadv,4,0,,0.92,0.08,0,9,0,0
16K267,Econ Disadv,52,29,,Not Econ Disadv,7,71,,0.88,0.12,0.34,9,3,34
16K308,Econ Disadv,20,0,,Not Econ Disadv,1,0,,0.95,0.05,0,10,0,0
16K681,Econ Disadv,52,29,,Not Econ Disadv,6,50,,0.9,0.1,0.31,9,3,31
17K002,Econ Disadv,141,31,,Not Econ Disadv,13,46,,0.92,0.08,0.32,9,3,32
17K061,Econ Disadv,123,27,,Not Econ Disadv,44,27,,0.74,0.26,0.27,7,3,27
17K138,Econ Disadv,52,37,,Not Econ Disadv,11,45,,0.83,0.17,0.38,8,4,38
17K181,Econ Disadv,56,14,,Not Econ Disadv,18,33,,0.76,0.24,0.19,8,2,19
17K189,Econ Disadv,95,41,,Not Econ Disadv,13,31,,0.88,0.12,0.4,9,4,40
17K246,Econ Disadv,110,27,,Not Econ Disadv,21,38,,0.84,0.16,0.29,8,3,29
17K340,Econ Disadv,37,49,,Not Econ Disadv,11,64,,0.77,0.23,0.52,8,5,52
17K352,Econ Disadv,34,0,,Not Econ Disadv,2,0,,0.94,0.06,0,9,0,0
17K353,Econ Disadv,42,24,,Not Econ Disadv,8,25,,0.84,0.16,0.24,8,2,24
17K354,Econ Disadv,96,64,,Not Econ Disadv,25,64,,0.79,0.21,0.64,8,6,64
17K382,Econ Disadv,34,0,,Not Econ Disadv,5,0,,0.87,0.13,0,9,0,0
17K394,Econ Disadv,37,0,,Not Econ Disadv,5,0,,0.88,0.12,0,9,0,0
17K484,Econ Disadv,33,30,,Not Econ Disadv,7,43,,0.83,0.18,0.32,8,3,32
17K543,Econ Disadv,44,68,,Not Econ Disadv,16,94,,0.73,0.27,0.75,7,7,75
17K590,Econ Disadv,96,72,,Not Econ Disadv,46,80,,0.68,0.32,0.75,7,7,75
17K722,Econ Disadv,71,23,,Not Econ Disadv,22,32,,0.76,0.24,0.25,8,3,25
18K066,Econ Disadv,61,8,,Not Econ Disadv,52,23,,0.54,0.46,0.15,5,1,15
18K068,Econ Disadv,54,19,,Not Econ Disadv,21,29,,0.72,0.28,0.22,7,2,22
18K211,Econ Disadv,98,21,,Not Econ Disadv,21,33,,0.82,0.18,0.23,8,2,23
18K235,Econ Disadv,70,84,,Not Econ Disadv,48,96,,0.59,0.41,0.89,6,9,89
18K285,Econ Disadv,154,27,,Not Econ Disadv,49,35,,0.76,0.24,0.29,8,3,29
18K366,Econ Disadv,112,32,,Not Econ Disadv,23,30,,0.83,0.17,0.32,8,3,32
18K581,Econ Disadv,57,14,,Not Econ Disadv,11,18,,0.84,0.16,0.15,8,1,15
18K588,Econ Disadv,45,29,,Not Econ Disadv,9,33,,0.83,0.17,0.3,8,3,30
18K763,Econ Disadv,84,19,,Not Econ Disadv,21,29,,0.8,0.2,0.21,8,2,21
